,deu,nds
31848,"Er war ein Kompromisskandidat, da die Interessen von Kaiser Karl V. und Franz I. von Frankreich nicht zu vereinen waren.","He weer en Kompromisskandidat, wiel de Interessen vun Kaiser Karl V. un Franz I. vun Frankriek nich to vereenen weern."
33337,De daden der Bolschewiki.,Dat weern de Bolschewiki.
9210,Ich bin ein guter Lehrer.,Ik bün en goden Lehrer.
17793,Horner schrieb für den Film in weniger als zwei Wochen 97 Minuten Musik.,To den Film hett Horner 97 Minuten Musik schrieven in weniger as twee Weken.
14122,Er steuerte viel Geld bei.,He deed Geld bistüren.
17150,Heute habe ich mehr gelesen als gestern.,Hüüt heff ik mehr läsen as güstern.
5176,Das Wetter ist heute wunderbar.,Dat Wedder is vondaag wunnerbest.
39655,Von 1944 bis 1950 betrieb Bamberger in San Francisco ein kleines Juweliergeschäft.,Vun 1944 bet 1950 hett Bamberger in San Francisco en lütt Juweliergeschäft bedreven.
11484,"Sie wollte gerade schlafen gehen, als jemand an die Tür klopfte.","Se woll jüst slapen gahn, as een an de Döör kloppen deed."
17135,Du solltest deinem Vater helfen.,Du schußt man dien Vadder helpen.
14659,"Ich hätte nie gedacht, dass ich dich hier treffen würde.","Ik harr nie dacht, dat ik di hier drapen schölen."
15655,Er hat seinen Eltern geschrieben.,He hett sien Öllern schrieven.
13816,Mein Lehrer heißt Breno.,Mien Schoolmeester heet Breno.
14806,Schon wieder sind die Akkus leer.,De Akkus sünd al wedder leddig.
28742,Außerdem übersetzte er die Bibel.,Ok de Bibel woll he översetten.
27489,Er ist das Symbol des wehrhaften Freiheitswillens.,Dat is dat Symbol vun den wehrhaften Freeheitswillen.
12061,Ich verstehe dich nicht.,Ik verstah di nich.
36816,"Heinrich-Georg Hax war der Sohn von Georg Hax, der im Wasserball und im Turnen an den Olympischen Spielen teilgenommen hatte.","Heinrich-Georg Hax weer de Söhn vun Georg Hax, de in’ Waterball un in’t Turnen an de Olympisch Spelen deelnommen harr."
28234,Spohr ist Ehrenbürger der Stadt Kassel.,Spohr ist Ehrenbörger vun de Stadt Kassel.
20152,"Mexiko bekam dafür als Entschädigung 15 Millionen Dollar und damit nur die Hälfte der Summe, die es vor dem Krieg abgelehnt hatte.","Mexiko kreeg darför as Entschädigung 15 Million Dollar, un darmit bloot de Hälft vun de Summ, de se vör den Krieg aflehnt harrn."
3685,Kennst du seinen Bruder?,Kennst du sien Broder?
3313,Wo ist die Bank?,Woneem is de Bank?
37399,Die Hauptstadt des Fürstentums war Sofia.,De Hööftstadt is Sofia.
9822,Sie ist freundlich zu ihm.,Se is fründlich to em.
20067,Seinen ersten Job in einer Band hatte er im Orchester von Walter Johnson in Miami.,Sien eersten Job in en Band harr he in dat Orchester vun Walter Johnson in Miami.
22833,Nicht so erfolgreich war Anquetil bei den klassischen Eintagesrennen.,Nich so spoodriek weer Anquetil bi de klassisch Eendagsrennen.
1040,"Bleibt, wo ihr seid.","Blievt, wo ji sünd."
16434,Ich verlasse Tatoeba.,Ik verlaat Tatoeba.
37249,"Coetzee hat väterlicherseits niederländische Wurzeln, wuchs jedoch in einer englischsprachigen Familie auf.","Coetzee hett nedderlannsch Wuddels, is aver in en engelschspraakig Familie op."
5367,Ich erinnere mich gut an meine Kindheit.,Ik kann mi goot op mien Kinnertied besinnen.
41450,Bei den Australian Open kam sie bis ins Achtelfinale.,Bi de Australian Open keem he nich över dat Achtelfinale herut.
5452,Im Sommer esse ich gerne kalten Kartoffelsalat.,In ’n Sommer eet ik geern kolen Kartuffelsalaat.
27574,Die Uhr blieb stehen.,De Sitt weer Stood.
21400,Die Gesellschaft ehrte ihn 1949 mit einer Retrospektive.,De Sellschop hett em 1949 mit en Retrospektive ehrt.
8955,Sie lächelte.,Se smüüster.
17805,Papst Clemens V. brauchte Geld.,Paapst Clemens V. bruuk Geld.
35927,Jahrhunderts aufgerufen.,Jahrhunnert worrn.
26177,Druck auf Althaus wächst.,De Druck warrt grötter.
22776,Seit dieser Zeit sind das alte Harlingerland und die Grenzbereiche lutherisch geprägt.,Siet düsse Tiet is dat oolt Harlingerland un de Grenzberieken lutherisch präägt.
8304,Bellende Hunde beißen nicht.,"Hunnen, de bellt, biet nich."
11911,Ich will noch ein Bier.,Ik will noch en Beer.
343,Trink weniger und schlaf mehr.,Suup nich so veel un slaap mehr.
30493,"2005 trat sie zudem erneut bei den Sommer-Weltmeisterschaften der Junioren, dieses Mal in Muonio, an und gewann dort Gold mit der Staffel.","2005 is se weer bi de Sommer-Weltmeesterschapen vun de Junioren, dit Maal in Muonio, antreeden un wunnern dar Gold mit de Staffel."
5373,"Der Lehrer warnte uns, dass der Test schwer werden würde.","De Schoolmeester deed uns wohrschauen, dat de Test swaar warrn schölen."
13516,Du siehst munter aus.,Du süst kregel ut.
14742,Die Milch schmeckt nicht.,De Melk smeckt slecht.
16710,Tom wollte meine Hilfe nicht.,Tom woll mien Help nich.
39426,"Es wurden zwölf Straf- und zehn Zivilkammern, darunter eine Kammer für Handelssachen, gebildet.","Dat gifft twölv Straaf- un teihn Zivilkamern, vun de een Kamer för Hannelssaken tostännig is."
41734,Sitz der Verwaltungsgemeinschaft war Mittelberg.,Seet vun de Verwaltungsgemeenschop weer Mittelberg.
13729,Ich fuhr mit meinem Auto nach Erfurt.,Ik bün mit mien Wagen na Erfurt föhrt.
11240,Die USA grenzen im Norden an Kanada.,De USA grenzt in ’n Noord an Kanada.
4677,Mach dir nichts draus!,Maak di dar nix ut!
28986,"Ab 1978 unterrichtete er auch als Dozent in Den Haag, Rotterdam, Hilversum und später vor allem im Konservatorium von Amsterdam.","Af 1978 geev he as Dozent ok Ünnerricht in Den Haag, Rotterdam, Hilversum un later vör alleen in dat Konservatorium vun Amsterdam."
9309,Mein Hobby ist Gitarre spielen.,Mien Hobby is Gitarr spelen.
21730,Der Roman zum Film.,De Roman to’n Film.
32874,"Im Dezember 2001 beendete er seine Karriere, in der er bei insgesamt 77 Weltcupspringen angetreten war.",2001 hett he sien Loopbahn nah insgesamt 77 Weltcupspringen afslooten.
27042,Sein Bruder Joachim Knaak (* 1951) ist auch ein Schachspieler.,Sien Bröer Joachim Knaken (* 1951) is ok en Schachspeeler.
23900,Kapitän der Niña auf ihrer ersten Reise war Vicente Yáñez Pinzón.,Kapitän vun de Niña op ehr eerste Reis weer Vicente Yáñez Pinzón.
10996,Ein Wassermolekül besteht aus einem Sauerstoff- und zwei Wasserstoff-Atomen.,En Watermoküül besteiht ut een Suurstoff- un twee Waterstoff-Atooms.
31865,Anfang Oktober 2016 wurde Donnarumma von der britischen Tageszeitung The Guardian als bestes Talent des Jahrgangs 1999 ausgezeichnet.,Anfang Oktober 2016 wurr Donnarumma vun de britischen Daagblatt The Guardian as best Talent vun den Johrgang 1999 uttekent.
6954,Ich gehe jetzt in den Park.,Ik gah nu in ’n Park.
34373,1975 starb er bei einem Verkehrsunfall.,He is 1975 bi en Verkehrsunfall doodbleven.
14323,"Mach, was dir gefällt.","Do, wat di gefallt."
35173,Er hatte die Größe und das Gewicht des Prophet-5 und war vergleichsweise kostengünstig.,He harr de Grött un dat Wicht vun’n Profet-5 un weer vergliekswies billig.
10185,Meine Kinder sind in der Schule.,Miene Kinner sünd in ’e School.
36971,Beschriebene Blätter können abgetrennt und mit Klebeband oder an einer Magnetleiste an der Wand aufgehängt werden.,Beschreeven Blööd könnt aftrennt un mit Kleevband oder an en Magnetliest an de Wand op wurrn.
35398,"Franz Xaver Wolfgang Mozart starb während einer Kur in Karlsbad, wo er auch begraben wurde.","Franz Xaver Wolfgang Mozart is wiels en Kur in Karlsbad storven, wo he ok begraven wurrn is."
9740,Was ist aus seinem Hund geworden?,Wat is ut sien Hund worrn?
12664,Es wird kälter.,Dat warrt koler.
1102,Warum fragst du nicht deinen Lehrer um Rat?,Worüm fraagst du nich dien Lehrer üm Rad?
8716,Wir haben hinter einem großen Baum Schutz gesucht.,Wi hebbt achter en groten Boom schuult.
3239,Der Hund gehört mir.,De Hund höört mi to.
20679,Hier war er in den 1960er Jahren mit der Band „Die Tonics“ unterwegs.,Hier weer he in de 1960er Johren mit de Band „Die Tonics“ ünnerwegens.
15469,Das Packeis ist dünner geworden.,Dat Packies is dünner worrn.
8717,Hawaii ist ein Paradies auf Erden.,Hawaii is en Paradies op Eern.
16219,Tom hat Maria etwas zugeflüstert.,Tom hett Ria wat toflüstert.
5569,Was sagt der Wetterbericht für morgen?,Wat seggt de Wederbericht för morgen?
14691,Mehr als die Hälfte der Einwohner sind gegen den Plan.,Mehr as de Hälft vun de Inwahners sünd gegen den Plaan.
8135,Er ist von einer anderen Welt.,He is ut en anner Welt.
9421,Sie bürstet morgens ihr Haar.,Se börst morgens ehr Hoor.
11146,"Wenn ich Geld hätte, würde ich diesen Computer sofort kaufen.","Wenn ik Geld harr, deed ik dissen Reekner foorts köpen."
15790,Wie funktionieren Magnete?,Woans funkschoneert Magneten?
19679,"Der Name Max Q ist ein technischer Begriff aus der Raumfahrt, der den Punkt maximaler Belastung beim Start bezeichnet.","De Naam Max Q is en technisch Begreep ut de Ruumfohrt, de de Punkt vun de maximal Belastung bi den Start betekent."
18012,Der Zigeunerchef trennt jedoch das Paar und verfolgt Charlie.,De Zigeunerbaas trennt aver dat Paar un verfolgt Charlie.
11106,"Ihr habt mir echt gefehlt, als ihr in Frankreich wart.","Ji hebbt mi echt fehlt, as ji in Frankriek wesen sünd."
25482,Sein Doktorvater war Hermann Minkowski.,Sien Doktervader weer Hermann Minkowski.
8709,"Schaust du dir ""Tom und Jerry"" an?",Kkst du „Tom un Jerry“?
1943,April ist der vierte Monat des Jahres.,De April is de veerte Maand in ’t Jahr.
45825,Bei Aufglasurmalerei benötigt man in der Regel für jede Farbe einen weiteren Brand.,Bi Op bruukt man in de Regel för jeder Farv en wiederen Brand.
1083,Läufst du jeden Tag?,Löppst du elk Dag?
4231,Wo und wann hast du sie kennengelernt?,Woneem un wannehr hest du ehr kennenlehrt?
7994,Sie hat einen ganzen Berg an Kleidung.,Se hett en ganzen Barg Kledaasch.
2880,Frankreich grenzt an Spanien.,Frankriek grenzt an Spanien.
9630,Mein Geburtstag ist im Juli.,Mien Geboortsdag is in ’n Juli.
39529,"1973 heiratete er Ali MacGraw, die die weibliche Hauptrolle in Getaway spielte.","1973 hett he Ali MacGraw heiraadt, de de wievlich Hööftrull in The Getaway speel."
9684,Sie hat ihn rausgeschmissen.,Se hett em rutsmeten.
8781,"Ich habe einen Freund, der in Sapporo wohnt.","Ik heff en Fründ, de in Sapporo wahnt."
6492,Die Uhr schlug zehn.,De Klock hett teihn slaan.
553,"Ich habe keine Zeit, ihm zu schreiben.","Ik heff keen Tied, em to schrieven."
6301,"Es ist einfacher, als ich dachte.",Dat is lichter as ik dach.
4687,Nimm es nicht wörtlich. Er übertreibt gerne.,Nehm dat nich bi ’t Woort. He överdrifft geern.
2534,Saufen schadet der Gesundheit.,Supen is slecht för de Gesundheit.
4627,"Wenn der Hund grast, gibt es Regen.","Wenn de Rüe griäst, giëwt Riängen."
17411,"Tom und Maria sagten, sie müssten mit mir reden.","Tom un Ria säen, dat se wat mit mi to bespreken harrn."
18331,"Am bekanntesten ist Coetzee für seine Romane (die nie umfangreich sind), er arbeitet jedoch auch in anderen Genres.","An' bekanntsten is Coetzee för sien Romane (de nie umfangriek sünd), he arbeit aver ok in anner Genres."
2112,Er unterschrieb den Scheck.,He hett den Scheck ünnerschreven.
3736,Es regnet hier fast nie.,Dat regent hier meist nie.
33272,In Österreich erschien der Film unter den Titeln Wildwest und Der Fremde aus Arizona.,In Öösterriek keem de Film ünner de Titel Wildwest un Der Frömme antwoorden Arizona.
16843,Ich kenne deine Sprache.,Ik kenn dien Spraak.
7264,Sie pflückte viele schöne Blumen.,Se deed veel schöön Blomen plücken.
19047,Diese Figur in G-Dur liegt auf dem Kontrabass sehr dankbar.,Disse Figur in G-Dur liggt op den Kontrabass bannig dankbar.
9154,Ich meine das auch so.,Ik meen dat ok so.
13380,Sein Hut sieht ziemlich lustig aus.,Sien Hoot seeg temlich grappig ut.
439,Sie schaltete das Licht aus.,Se hett dat Licht utmaakt.
39840,Hoffmann war Mitglied im Deutschen Hotel- und Gaststättenverband.,Hoffmann weer in’n Düütschen Hotel- un Gaststedenverband.
4461,Er singt gern beim Baden.,He singt geern bi ’t Baden.
39891,"In einer Demokratie werden die Vertreter eines Parlaments durch Wahlen bestimmt, in anderen Regierungssystemen finden auch Ernennungen statt.","In en Demokratie wurrd de Vertreder vun en Parlament dör Wahlen bestimmt, in anner Regeerensformen gifft dat aver ok Ernennungen."
45561,Nach dem Krieg trat sie nur noch in wenigen Filmen auf.,Na’n Krieg hett se bloot noch in wenig Filmen mitmaakt.
15881,Viele Menschen schreiben über ihr Alltagsleben.,Veel Minschen schrievt över jemehr allerdaagsch Leven.
7214,Sie wohnt nicht mehr hier.,Se wahnt hier nich mehr.
39399,Mit der Nationalmannschaft der DDR nahm Tischbierek an der Schacholympiade 1990 teil.,Mit de Natschonalmannschap vun de DDR hett Tisbierek an de Schacholympiade 1990 deelnommen.
14211,Ich will viel mehr.,Ik will veel mehr.
2392,Sie kam oft zu spät zur Schule.,Se keem faken to laat na School.
20379,1531 wurde Rostock offiziell evangelisch.,1531 is Rostock den offiziell evangeelsch worrn.
15706,Ich habe ihn einen Baum umsägen gesehen.,Ik heff em en Boom ümsagen sehn.
6391,"Das Mädchen, das gerade zur Türe herein kommt, kommt immer zu spät.","De Deern, de jüst bi de Döör rinkummt, kummt ümmer to laat."
10187,Ich bin dem Tod entronnen.,Ik bün vör ’n Dood ees utknepen.
26523,"Nachdem er nach 1914 nach Oxford zurückgekehrt war, trat er in die Royal Engineers Company ein, wo er 1916 zum Captain befördert wurde.","Nahdem he 1914 nah Oxford trüggkehrt weer, is he in de Royal Engineers Company intreden, wo he 1916 to’n Captain befördert wurr."
13978,Das ist aber eine kleine Erbse!,Dat is aver en lütte Arvt!
40163,Ab 1986 war sie am Caltech.,Af 1986 weer se an dat Caltech.
44054,Im selben Jahr wurde Bob Dylan in die Rock and Roll Hall of Fame aufgenommen.,In dat sülvig Jahr wurr Bob Dylan in de Rock and Rull Hall of Fame op.
1023,Jane kommt aus Australien.,Jane kummt ut Australien.
1571,Der Regen hat aufgehört.,De Regen hett ophöört.
15986,Ich bin dafür nicht zuständig.,Ik bün dar nich för tostännig.
3324,"Er ist es, der gestern das Fenster zerbrach.","He is dat, de güstern dat Finster tweibraken hett."
5889,Sie hat eine Katze. Die Katze ist weiß.,Se hett en Katt. De Katt is witt.
5698,Ist das ein Radio?,Is dat en Radio?
7088,Mein Vater ist sozusagen ein wandelndes Wörterbuch.,Kannst seggen mien Vadder is en Wöörbook op Been.
15555,"Wir sind gewohnt, Schuhe zu tragen.","Wi sünd dat wennt, Schoh to dregen."
9105,Nächste Woche fahre ich an den Plattensee.,Toern Week föhr ik na ’n Balaton.
20648,"Pride enthält allerdings einen historischen Fehler, denn King wurde nicht, wie im Stück impliziert, am Morgen ermordet, sondern abends.","Pride enthollt allerdings en historschen Fehler, denn King wurr nich, as dat in dat Stück schreeven wurr, an‘ Morgen umbrocht, sünnern avends."
15235,Das wird teuer!,Dat warrt düer!
725,Ich gehe zu Fuß zur Schule.,Ik gah to Foot na School.
1069,Ich möchte ein paar Kartoffeln.,Ik will en paar Tuffeln.
39353,"Der Saturn besitzt ein eigenes Magnetfeld, dessen Form der einfachen, symmetrischen Form eines magnetischen Dipols entspricht.","De Planet hett en egen Magnetfeld, dat de eenfache symmetrische Form vun en magneetschen Dipool opweist."
13254,Ich kann nirgends meinen roten Hut finden.,Ik kunn narms mien raden Hoot finnen.
32309,"Aus der Beobachtung des Lomonossow-Effekts zog er den Schluss, dass die Venus eine Atmosphäre haben müsse.","Ut de Beobachtung vun den Lomonossow-Effekt truck he den Sluss, dat de Venus en Atmosphäre hebben muss."
23108,Dieser Kampfesverband besiegte 1876 General Custer und seine Truppen am Little Big Horn.,Disse kampverband hett 1876 General Custer un sien Truppen an’ Little Big Hoorn slaan.
1372,Er hat sich die Haare kurz schneiden lassen.,He hett sik de Hoor kort snieden laten.
10272,Er lügt!,He lüggt!
26487,Dennoch gilt er als einer der wenigen großen Jazz-Komponisten.,Dennoch gellt he as en vun de wenig groot Jazz-Komponisten.
39934,"Aus diesem Album stammt Torrinis in Deutschland bislang erfolgreichstes Lied Jungle Drum, das im März 2009 in Deutschland veröffentlicht wurde.","Ut düsse Album stammt Torrinis in Düütsland bitlang spoodriekst Leed Jungle Drum, wat in’n März 2009 in Düütsland verapenlicht wurr."
1207,Was hat dich in diese Stadt geführt?,Wat hett di na düsse Stadt bröcht?
39821,"Er hatte rot-blondes Haar, blaue Augen und einen gesunden Teint.","He hett roodblond Haar harrt, blaue Ogen un en frischen Teint."
5202,Ich habe in Koenji gewohnt.,Ik heff in Koenji wahnt.
538,"Es ist Zeit, in die Schule zu gehen.","Dat is Tied, in ’e School to gahn."
8534,"Wenn ich Japanisch spreche, klinge ich wie ein Kind.","Wenn ik Japaansch snack, kling ik as en Kind."
13743,"Nächsten Monat ist es fünf Jahre her, dass er begonnen hat, Geige zu spielen.","Toern Maand is dat fief Jahr her, dat he anfungen hett, Vigelien to spelen."
28741,Die Teilchen können sich nun frei bewegen.,Se künnt sik nu free bewegen.
19655,Zu seiner Liveband gehörte auch seine Tochter Melanie als Sängerin.,To sien Liveband hörr ok sien Dochter Melanie as Singersche.
1228,Weshalb?,Worüm?
24535,Nach dem Unglück der Raumfähre Challenger im Jahr 1986 arbeitete er in der Untersuchungskommission.,Nah dat Unglück vun de Ruumfähr Challenger in dat Jahr 1986 hett he in de Ünnersökenskommision arbeit.
27069,1994: In Ruanda endet der Bürgerkrieg.,1994: In Ruanda geiht de Börgerkrieg to Ennd.
15778,"Er hat gemerkt, dass ich da bin.","He hett markt, dat ik dar bün."
38036,"Mitte der 1930er Jahre verließ Trent zunächst das Musikgeschäft, kehrte aber mit einer anderen Band 1938 auf die Szene zurück.","Midden vun den 1930er Johren hett Trent dat Musikgeschäft verlaaten, is aver mit en anner Band 1938 torüchkommen."
25631,"Im August 1806 schrieb Sinclair an Hölderlins Mutter, er könne für seinen Freund nicht mehr sorgen.","In’ August 1806 schreev Sinclair an Hölderlin sien Moder, dat he för sien Früend nich mehr sörgen kunn."
1845,Was machst du gerade?,Wat maakst du jüst?
2555,Willkommen in der Hölle!,Willkamen in de Höll!
5343,Mag sie Apfelsinen?,Maag se Appelsienen?
1769,Er arbeitet als Übersetzer.,He arbeidt as Översetter.
4481,Ich nehme ein Buch.,Ik nehm en Book.
43649,Coolidge stellte das Vertrauen der Öffentlichkeit in das Weiße Haus nach den Skandalen der Administration seines Vorgängers wieder her.,Coolidge stell dat Vertroen vun de Apenlichkeit in dat Witt Huus nah de Schandaals vun de Administratschoon vun sien Vörgänger weer her.
4056,Er ist Vater von zwei Söhnen.,He is Vadder vun twee Söhns.
16719,"Thomas sah Maria an, dass sie das Konzert nicht genossen hatte.","Tom kunn sehn, dat Marie dat Konzert nich genaten harr."
43399,"Sein größter Einzelerfolg war das Erreichen des Finales der amerikanischen Meisterschaften im Jahr 1883, das er gegen Sears verlor.","Sien gröttste Eenzelspood weer dat Recken vun dat Finale vun de amerikaansch Meesterschapen 1883, wo he gegen Richard Sears verlor."
30122,"1966 kandidierte er für den Posten des Gouverneurs von Georgia, scheiterte aber.","1966 hett he för den Posten as Gouverneur vun Georgia kandideert, is aver nich wählt wurrn."
14995,Ich esse gerade Nudeln.,Ik eet jüst Nudeln.
5013,Wann bist du zurückgekommen?,Wannehr büst du trüggkamen?
36439,Auch in Sansibar wurde im Oktober 2005 ein neues Parlament und ein neuer Präsident gewählt.,Ok in Sansibar is in’n Oktober 2005 en nee Parlament wählt wurrn.
15130,Diese Äpfel sind fast alle vergammelt.,Disse Appels sünd meist all mulsch.
16386,Ruf mich morgen früh um neun an!,Roop mi morgen fröh üm negen an!
38984,Die hier angegebenen Massen sind die der Stromquarks.,In de Tabell sünd de Massen vun de Stroomquarks angeven.
38084,Das Schulgebäude ist in drei Teile unterteilt.,Dat Schooljohr is indeelt in dree Delen.
6290,Hast du ein Problem damit?,Hest du dar en Probleem mit?
22418,"Die Familie besteht aus Fragmenten, die bei Zusammenstößen aus Pallas herausgeschleudert wurden.","De Koppel besteiht ut Fragmenten, de bi Tosamenstöten ut Pallas rutsleudert worrn sünd."
36663,Bei den Versammlungen der Brüderschaft am Sonntag nach Johanni mussten mehrere Personen je eine Tonne Bier geben.,Bi de Versammlungen vun de Bröders an’n Sünndag na Johanni müssen en paar Lüüd je ene Tünn Beer geven.
16477,Ich liebe Maria noch immer.,Ik heff Ria noch ümmer leef.
40413,Von seiner Größe und Helligkeit her ist er mit den Messierobjekten vergleichbar.,Vun sien Grött un de Helligkeit her is he meist mit de Messierobjekten to verglieken.
15649,Ihr Haus steht nahe an der See.,Ehr Huus is neegbi de See.
12121,Ich habe noch nie einen lebendigen Tintenfisch gegessen.,Ik heff noch nien en lebennigen Blackfisch eten.
22933,Anfangs befasste er sich mit der Theorie analytischer Mengen und löste einige Probleme von Lusin.,Anfangs hett he sück mit de Theorie vun analytisch Mengen befaat un hett eenig Probleme vun Lusin lööst.
25799,"Wenn die Aura isoliert bleibt, kann sie das einzige – subjektive – Symptom eines einfach fokalen Anfalls darstellen.","Wenn de Aura isoleert blifft, kann se dat eenzige – subjektive – Symptom vun en eenfach partiellen Anfall dorstellen."
6322,"Im Falle, dass du es möchtest, werde ich es tun.","Wenn du dat wullt, denn do ik dat."
5057,"Der Hund war eifrig damit beschäftigt, seinen Knochen im Garten zu vergraben.",De Hund hett gau sien Knaken in ’n Gaarn inbuddelt.
1459,Ken möchte ein Fahrrad.,Ken will en Fohrrad.
11867,Habe keine Angst.,Wees nich bang.
19564,Mit seiner Fehleinschätzung des sowjetischen Militärpotentials stand Hitler nicht alleine da; fast alle seine Befehlshaber teilten sie ebenfalls.,Mit sien Ünnerschätzen vun dat sowjeetsch Militärpotential stunn Hitler aver nich alleen dar; meist all vun sien Befehlshebers hebbt dat ok so sehn.
14500,Ist das Fieber heruntergegangen?,Is dat Fever dalgahn?
17333,Wie viele Tassen Tee trinkt ihr am Tag?,Woveel Tassen Tee drinkt ji an’n Dag?
614,Er teilte meine Freude.,He deed mien Freud delen.
6055,Ich habe es schon gekauft.,Ik heff dat al köfft.
10986,Er hat erneut seinen Regenschirm verloren.,He hett wedder sien Regenscherm verloren.
17648,Lucius war Römer.,Lucius weer Römer.
16955,"Wenn man in Rom ist, sollte man sich wie ein Römer verhalten.","Wenn een in Room is, denn schölen een dat doon, as de Römers dat doot."
16641,Ich bin ins Wasser gefallen.,Ik bün in’t Water fallen.
5001,"Das ist das Mädchen, das gestern gekommen ist.","Dat is de Deern, de güstern kamen is."
27906,In dieser Zeit nahm er astronomische Berechnungen und Himmelsbeobachtungen vor.,In düsse Tiet nehm he astronoomsch Bereeknungen un Himmelsbeobachtungen vör.
10882,Er und sie sind gleich groß.,He alldaags se sünd lieker groot.
2203,Morgen früh habe ich Zeit.,Morgen fröh heff ik Tied.
5150,Er verdient doppelt so viel wie ich.,He verdeent twee Maal so veel as ik.
6718,Er betrachtete ihn als Feind.,He hett em as Fiend ankeken.
10824,Er hat mir nichts zu essen gegeben.,He hett mi nix to eten geven.
6570,Darf ich mir dein Auto ausleihen?,Dröff ik mi dien Auto utborgen?
8430,Er schickte seiner Mutter Blumen.,He hett sien Moder Blomen tostüürt.
14924,Ich habe meinen Wecker mitgebracht.,Ik heff mien Wecker mitbröcht.
17006,Zum Museum musst du diesen Bus nehmen.,Na ’t Museum musst du mit dissen Bus.
7802,Ich schrieb Jim einen Brief.,Ik heff Jim en Breef schrieven.
11594,"Der Mann, der dort drüben ein Buch liest, ist mein Vater.","De Keerlm, de dar achtern in en Book leest, is mien Vadder."
8728,"Ich dachte, dass das wahr ist.","Ik dach, dat dat wohr is."
20137,"Sie arbeitet heute als Sportkommentatorin für die BBC, ABC, CBS und ESPN.","Se arbeit vundaag as Sportkommentatersche för de BBC, ABC, CBS un ESPN."
15711,Alice ließ verschämt ihren Kopf hängen.,Alice leet verschaamt ehren Kopp hangen.
24427,1975: Louis Sylvain Goma wird Premierminister der Republik Kongo.,1975: Louis Sylvain Goma warrt Premierminister vun de Republiek Kongo.
35673,Sitz der Verwaltungsgemeinschaft war Konzell.,Seet vun de Verwaltungsgemeenschop weer Konzell.
4184,Ich kenne sie nicht.,Ik kenn ehr nich.
44944,Dort wurde er 1970 mit einer Arbeit über Transporteigenschaften von Eisen und Nickel promoviert und übernahm die Leitung einer Forschungsgruppe.,Dor kreeg he 1970 mit en Arbeit över Transporteegenschapen vun Iesen un Nkel sien un övernehm de Leitung vun en Forschungsgrupp.
10039,Das Kind bekommt jetzt Zähne.,Dat Kind kriggt nu Tahn.
11828,"Ich bin dagegen, dass sie allein dorthin geht.","Ik bün dar gegen, dat se dar alleen hengeiht."
4364,Wie viele Eier legt diese Henne in jeder Woche?,Woveel eier leggt düsse Hehn in ’e Welk?
13461,Kann ich meinen Doktor sprechen?,Kann ik mien Dokter spreken?
1436,Ich habe nicht abgenommen.,Ik heff nich afnahmen.
16594,Wir sind gerade ziemlich beschäftigt.,We hebbt graad teemlich veel to doon.
36233,Weinek absolvierte von 1983 bis 1986 sein Schauspielstudium bei Peter P. Jost.,Weinek hett vun 1983 bet 1986 sien Schauspeelstudium bi Peter Jost afsolveert.
9699,Sie hat ihm mein Bild gezeigt.,Se hett em mien Bild wiest.
8191,Ich brauche einen Hammer.,Ik bruuk en Hamer.
5390,Meine Schwester ist 2 Jahre älter als ich.,Mien Süster is twee Jahr öller as ik.
13386,Du hast viel verpasst.,Du hest veel verpasst.
30212,Die größte Kolonie der Welt befindet sich auf Eldey vor der Küste von Reykjanes in Südisland.,De gröttste Kolonie op de ganze Welt is op de Insel Eldey vör de Küst vun Reykjanes in Iesland sien Süden.
14006,Im Kühlschrank ist Milch.,In ’n Köhlschapp is Melk.
4030,Das ist dein Hund.,Dat is dien Hund.
23251,Die National Associations haben zusammen mehr als 1000 Mitglieder.,De National Associations hebbt tosommen mehr as 1000 Liddmaaten.
24980,Aus dem Englischen von Olaf Bentkämper.,Ut dat Engelsche vun Olaf Bentkämper.
4277,Die Sonne schmolz den Schnee.,De Sünn deed den Snee smölten.
10717,Ich bin drei Jahre jünger als du.,Ik bün dree Jahr jünger as du.
2606,Die Braut lachte plötzlich.,De Bruud deed opmaal loospruuschen.
6965,Inge hat einen dicken Hintern.,Inge hett en dken Neers.
6260,"Ich habe das Radio eingeschaltet, um die Nachrichten zu hören.","Ik heff dat Radio anmaakt, üm de Narichten to hören."
5763,Er liegt schon eine Woche krank im Bett.,He liggt al een Week krank in ’t Bedd.
10612,"Ich erinnere mich, dass ich lachte.","Ik weet noch, dat ik lacht heff."
1500,Wie kann ich ihn loswerden?,Woans kann ik em looswarrn?
21979,Er spendete das Geld für ein karitatives Projekt.,Dat Geld hett he för en karitativ Projekt spennt.
807,Wie lange dauert es?,Wo lang duurt dat?
7775,Er hat ein blaues Auge. Was ist passiert?,He hett en blau Oog. Wat is passeert?
25527,Mingus zog zu Beginn des Jahres 1960 mit seiner neuen Lebensgefährtin Judy Starkey nach Harlem.,Mingus truck to’n Anfang vun dat Jahr 1960 mit sien Levensgefährtin Judy Starkey nah Harlem.
10243,Sie ist ein bisschen wählerisch beim Essen.,Se is en beten krüüsch bi dat Eten.
4159,Ich habe meine Hausaufgaben schon fertig.,Ik heff mien Huusopgaven al trech.
2084,Sein Bruder ist letzten Monat verschieden.,Sien Broder is vergangen Maand doodbleven.
